BoroCD,Shape_Leng,Shape_Area,QGISmerge_field_1,QGISmerge_fid.x,QGISmerge_shape_leng.x,QGISmerge_shape_area.x,QGISmerge_numpoints.x,QGISmerge_fid.y,QGISmerge_shape_leng.y,QGISmerge_shape_area.y,QGISmerge_numpoints.y,QGISmerge_normalize
"206",35875.71173280000,42664311.50859999657,"19","1","35875.7117328",42664311.5086,"35","1",35875.7117328,42664311.5086,"104",0.336538461538462
"404",37018.37383920000,65739661.96899999678,"52","2","37018.3738392",65739661.969,"27","2",37018.3738392,65739661.969,"123",0.219512195121951
"304",37007.80659900001,56662613.16110000014,"32","3","37007.806599",56662613.1611,"11","3",37007.806599,56662613.1611,"144",0.0763888888888889
"205",29443.04812870000,38316975.12919999659,"18","4","29443.0481287",38316975.1292,"55","4",29443.0481287,38316975.1292,"127",0.433070866141732
"207",44812.14742560000,53311689.10000000149,"20","5","44812.1474256",53311689.1,"46","5",44812.1474256,53311689.1,"128",0.359375
"208",47817.42556740000,92071723.63379999995,"21","6","47817.4255674",92071723.6338,"30","6",47817.4255674,92071723.6338,"59",0.508474576271186
"483",106865.64524800000,191997989.51700001955,"66","7","106865.645248",191997989.517,"1","7",106865.645248,191997989.517,"4",0.25
"303",36213.67126420000,79461502.47679999471,"31","8","36213.6712642",79461502.4768,"25","8",36213.6712642,79461502.4768,"184",0.135869565217391
"412",65928.41034950000,267333306.42600002885,"60","9","65928.4103495",267333306.426,"102","9",65928.4103495,267333306.426,"226",0.451327433628319
"107",39863.70289940000,53152583.34960000217,"7","10","39863.7028994",53152583.3496,"32","10",39863.7028994,53152583.3496,"113",0.283185840707965
"403",41655.07709770000,83489684.88369999826,"51","11","41655.0770977",83489684.8837,"13","11",41655.0770977,83489684.8837,"107",0.121495327102804
"309",29932.85894850000,45315422.73600000143,"37","12","29932.8589485",45315422.736,"5","12",29932.8589485,45315422.736,"68",0.0735294117647059
"480",47208.37994330000,32763528.36730000004,"63","13","47208.3799433",32763528.3673,"2","13",47208.3799433,32763528.3673,"6",0.333333333333333
"401",90822.38341840000,171488853.69400000572,"49","14","90822.3834184",171488853.694,"7","14",90822.3834184,171488853.694,"198",0.0353535353535354
"210",272580.14932299999,179092602.90599998832,"23","15","272580.149323",179092602.906,"29","15",272580.149323,179092602.906,"99",0.292929292929293
"228",118452.34662200000,92824293.48059999943,"28","16","118452.346622",92824293.4806,"0","16",118452.346622,92824293.4806,"0",0
"227",28390.98646550000,31428497.83729999885,"27","17","28390.9864655",31428497.8373,"0","17",28390.9864655,31428497.8373,"1",0
"104",67623.63523689999,49311989.59629999846,"4","18","67623.6352369",49311989.5963,"16","18",67623.6352369,49311989.5963,"153",0.104575163398693
"308",38232.88752140000,45603787.15089999884,"36","19","38232.8875214",45603787.1509,"13","19",38232.8875214,45603787.1509,"85",0.152941176470588
"355",23962.17025120000,26143730.47500000149,"47","20","23962.1702512",26143730.475,"0","20",23962.1702512,26143730.475,"1",0
"316",32997.59173030000,51768917.23730000108,"44","21","32997.5917303",51768917.2373,"11","21",32997.5917303,51768917.2373,"90",0.122222222222222
"317",43327.42700750000,93818779.73739999533,"45","22","43327.4270075",93818779.7374,"7","22",43327.4270075,93818779.7374,"102",0.0686274509803922
"311",51537.37656690000,103210761.17599999905,"39","23","51537.3765669",103210761.176,"49","23",51537.3765669,103210761.176,"156",0.314102564102564
"595",109772.58181800001,54565276.90869999677,"71","24","109772.581818",54565276.9087,"0","24",109772.581818,54565276.9087,"0",0
"226",32820.42920600000,50565988.40049999952,"26","25","32820.429206",50565988.4005,"0","25",32820.429206,50565988.4005,"0",0
"410",105824.20745200000,172080394.21099999547,"58","26","105824.207452",172080394.211,"24","26",105824.207452,172080394.211,"99",0.242424242424242
"112",54705.68067510000,77964305.78939999640,"12","27","54705.6806751",77964305.7894,"16","27",54705.6806751,77964305.7894,"143",0.111888111888112
"105",35288.30450630001,43790297.04980000108,"5","28","35288.3045063",43790297.0498,"5","28",35288.3045063,43790297.0498,"293",0.0170648464163823
"108",54119.35545630000,55218662.67270000279,"8","29","54119.3554563",55218662.6727,"20","29",54119.3554563,55218662.6727,"138",0.144927536231884
"164",32721.09766530000,38312378.47039999813,"13","30","32721.0976653",38312378.4704,"0","30",32721.0976653,38312378.4704,"0",0
"109",34959.94715380000,41895712.14549999684,"9","31","34959.9471538",41895712.1455,"24","31",34959.9471538,41895712.1455,"76",0.315789473684211
"110",35870.73346490000,39086189.76470000297,"10","32","35870.7334649",39086189.7647,"43","32",35870.7334649,39086189.7647,"118",0.364406779661017
"305",65110.85279120000,155483680.31499999762,"33","33","65110.8527912",155483680.315,"12","33",65110.8527912,155483680.315,"158",0.0759493670886076
"102",34130.59513300001,37689203.70759999752,"2","34","34130.595133",37689203.7076,"15","34",34130.595133,37689203.7076,"123",0.121951219512195
"103",30468.30199180000,46879760.91730000079,"3","35","30468.3019918",46879760.9173,"18","35",30468.3019918,46879760.9173,"178",0.101123595505618
"409",50772.00246490000,107378329.66100001335,"57","36","50772.0024649",107378329.661,"40","36",50772.0024649,107378329.661,"105",0.380952380952381
"101",69888.77219870000,41700790.30399999768,"1","37","69888.7721987",41700790.304,"4","37",69888.7721987,41700790.304,"126",0.0317460317460317
"211",45740.10671350000,100317185.61699999869,"24","38","45740.1067135",100317185.617,"34","38",45740.1067135,100317185.617,"103",0.330097087378641
"212",84115.57423540000,154906824.01800000668,"25","39","84115.5742354",154906824.018,"54","39",84115.5742354,154906824.018,"123",0.439024390243902
"310",44791.26928570000,111345733.89900001884,"38","40","44791.2692857",111345733.899,"37","40",44791.2692857,111345733.899,"114",0.324561403508772
"414",210953.75531700000,195551377.35100001097,"62","41","210953.755317",195551377.351,"15","41",210953.755317,195551377.351,"67",0.223880597014925
"484",239254.06524699999,118988121.88600000739,"67","42","239254.065247",118988121.886,"0","42",239254.065247,118988121.886,"0",0
"503",188980.04940300001,600326986.82500004768,"70","43","188980.049403",600326986.825,"24","43",188980.049403,600326986.825,"91",0.263736263736264
"402",72027.17242120000,139964996.67800000310,"50","44","72027.1724212",139964996.678,"2","44",72027.1724212,139964996.678,"115",0.0173913043478261
"405",70005.25476700002,210395687.55000001192,"53","45","70005.254767",210395687.55,"8","45",70005.254767,210395687.55,"182",0.043956043956044
"106",43163.83670570000,38733647.92520000041,"6","46","43163.8367057",38733647.9252,"5","46",43163.8367057,38733647.9252,"119",0.0420168067226891
"301",68935.80151750000,131703277.74199999869,"29","47","68935.8015175",131703277.742,"8","47",68935.8015175,131703277.742,"205",0.0390243902439024
"407",145327.60665500001,328288556.70499998331,"55","48","145327.606655",328288556.705,"18","48",145327.606655,328288556.705,"135",0.133333333333333
"411",103434.69089200000,260362937.42300000787,"59","49","103434.690892",260362937.423,"7","49",103434.690892,260362937.423,"48",0.145833333333333
"413",140570.45601900000,350469473.67799997330,"61","50","140570.456019",350469473.678,"47","50",140570.456019,350469473.678,"96",0.489583333333333
"482",31981.25831850000,24258020.53920000046,"65","51","31981.2583185",24258020.5392,"0","51",31981.2583185,24258020.5392,"0",0
"318",188015.59747899999,235420427.17899996042,"46","52","188015.597479",235420427.179,"10","52",188015.597479,235420427.179,"98",0.102040816326531
"356",255291.87494899999,130225615.53799998760,"48","53","255291.874949",130225615.538,"0","53",255291.874949,130225615.538,"0",0
"312",52245.83080480000,99525499.79999999702,"40","54","52245.8308048",99525499.8,"16","54",52245.8308048,99525499.8,"89",0.179775280898876
"314",49295.21103450000,82174171.92090000212,"42","55","49295.2110345",82174171.9209,"15","55",49295.2110345,82174171.9209,"101",0.148514851485149
"313",65780.79204430000,88175872.58169999719,"41","56","65780.7920443",88175872.5817,"17","56",65780.7920443,88175872.5817,"64",0.265625
"315",115578.80828700001,131639462.06300000846,"43","57","115578.808287",131639462.063,"30","57",115578.808287,131639462.063,"118",0.254237288135593
"406",42767.42434440000,82702342.01649999619,"54","58","42767.4243444",82702342.0165,"12","58",42767.4243444,82702342.0165,"64",0.1875
"307",87448.69658280000,104126845.79199999571,"35","59","87448.6965828",104126845.792,"2","59",87448.6965828,104126845.792,"118",0.0169491525423729
"408",70116.72742490000,207557186.74799999595,"56","60","70116.7274249",207557186.748,"10","60",70116.7274249,207557186.748,"74",0.135135135135135
"481",53812.05464960000,47558881.52220000327,"64","61","53812.0546496",47558881.5222,"0","61",53812.0546496,47558881.5222,"0",0
"302",74179.90936970002,79329462.80699999630,"30","62","74179.9093697",79329462.807,"16","62",74179.9093697,79329462.807,"113",0.141592920353982
"306",82155.68130570000,85501561.57569999993,"34","63","82155.6813057",85501561.5757,"5","63",82155.6813057,85501561.5757,"92",0.0543478260869565
"501",153758.72955799999,377210234.44599997997,"68","64","153758.729558",377210234.446,"67","64",153758.729558,377210234.446,"163",0.411042944785276
"502",142728.63885600001,591528782.81500005722,"69","65","142728.638856",591528782.815,"25","65",142728.638856,591528782.815,"91",0.274725274725275
"202",48502.65826350000,61808788.85570000112,"15","66","48502.6582635",61808788.8557,"25","66",48502.6582635,61808788.8557,"65",0.384615384615385
"209",62243.26068750000,114284865.49799999595,"22","67","62243.2606875",114284865.498,"62","67",62243.2606875,114284865.498,"139",0.446043165467626
"111",59502.91020450000,66146008.80240000039,"11","68","59502.9102045",66146008.8024,"34","68",59502.9102045,66146008.8024,"135",0.251851851851852
"201",33342.46728170001,60400029.65030000359,"14","69","33342.4672817",60400029.6503,"52","69",33342.4672817,60400029.6503,"110",0.472727272727273
"203",33500.06883420000,44796870.54290000349,"16","70","33500.0688342",44796870.5429,"35","70",33500.0688342,44796870.5429,"86",0.406976744186047
"204",31358.45078610000,55522140.32620000094,"17","71","31358.4507861",55522140.3262,"41","71",31358.4507861,55522140.3262,"169",0.242603550295858
